tijd,m1,m2,v
19.700000000000003,7004.1442554121195,487.4897462050926,9.399999814387042
19.8,7005.446513914069,486.21055790306974,9.399999831012515
19.900000000000002,7006.720634431999,484.9590079280307,9.399999846147315
20.0,7007.967216307307,483.7345076321675,9.399999859920328
20.1,7009.186845564131,482.5364814447416,9.399999872406168
20.200000000000003,7010.380097813058,481.3643640225238,9.399999883760032
20.3,7011.547536209981,480.2176022529243,9.39999989410465
20.400000000000002,7012.689712358744,479.09565436819776,9.399999903564803
20.5,7013.807164682818,477.99799153391757,9.399999912122588
20.6,7014.9004224278015,476.9240939398877,9.39999991991066
20.700000000000003,7015.970003355192,475.87345305047756,9.399999927014761
20.8,7017.016414493048,474.84557087042015,9.399999933514012
20.900000000000002,7018.040151482863,473.8399605850828,9.399999939444239
21.0,7019.041699703318,472.8561454584202,9.399999944837878
21.1,7020.0215353184085,471.89365780507194,9.399999949760556
21.200000000000003,7020.98012420591,470.9520400406211,9.399999954254003
21.3,7021.917922328689,470.0308443179035,9.399999958355146
21.400000000000002,7022.835374888782,469.1296333584816,9.399999962095738
21.5,7023.732919545302,468.24797729075004,9.399999965505192
21.6,7024.610984215243,467.38545581122634,9.399999968609164
21.700000000000003,7025.469987929507,466.54165734358753,9.399999971430521
21.8,7026.310339616252,465.71618023120317,9.39999997399775
21.900000000000002,7027.132440812956,464.90863007798686,9.399999976331594
